,PMCID,PMID,Publisher,Journal,Title,Cost(£),Article_or_Book,TP_notes,Extracted_date,PMC_Title,PMC_DOI,PMC_isOpenAccess,PMC_Journal,PMC_Pub_Year,PMC_Pub_Type,PMC_Citation_Count,Notes,PMC_Journal_ISSN
0,PMC3378987,22709703,Elsevier,Academy of Nutrition and Dietetics,Parent support and parent mediated behaviours are associated with children's sugary beverage consumption,2379.54,Article,,23/03/2014,Parent support and parent-mediated behaviors are associated with children's sugary beverage consumption.,10.1016/j.jand.2011.11.013,Y,J Acad Nutr Diet,2012,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",3,,2212-2672
1,PMC3780468,23834437,ACS (American Chemical Society) Publications,ACS Chemical Biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,1294.59,Article,,23/03/2014,A novel allosteric inhibitor of the uridine diphosphate N-acetylglucosamine pyrophosphorylase from Trypanosoma brucei.,10.1021/cb400411x,Y,ACS Chem Biol,2013,"journal article, research support, non-u.s. gov't, research support, n.i.h., extramural",1,,1554-8929
2,PMC3621575,22908928,ACS (American Chemical Society) Publications,ACS Chemical Biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,1294.78,Article,,23/03/2014,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,10.1021/cb300326z,Y,ACS Chem Biol,2012,"journal article, research support, non-u.s. gov't",5,,1554-8929
3,PMC3892729,24454993,American Chemical Society,ACS Chemical Biology,Discovery of β2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,947.07,Article,,23/03/2014,Discovery of β2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor.,,Y,ACS Med Chem Lett,2013,journal article,2,,1948-5875
4,PMC3833349,24015914,American Chemical Society,ACS Chemical Biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,1267.76,Article,,23/03/2014,Discovery of an allosteric inhibitor binding site in 3-Oxo-acyl-ACP reductase from Pseudomonas aeruginosa.,10.1021/cb4005063,Y,ACS Chem Biol,2013,"journal article, research support, non-u.s. gov't",0,,1554-8929
5,PMC3805332,23901909,American Chemical Society,ACS Chemical Biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,2286.73,Article,,23/03/2014,Synthesis of α-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and Maltokinase Pep2.,10.1021/cb400508k,Y,ACS Chem Biol,2013,"journal article, research support, non-u.s. gov't",0,,1554-8929
6,PMC3656742,23574576,American Chemical Society,ACS Chemical Neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,1186.8,Article,,23/03/2014,Continuous online microdialysis using microfluidic sensors: dynamic neurometabolic changes during spreading depolarization.,10.1021/cn400047x,Y,ACS Chem Neurosci,2013,"journal article, research support, non-u.s. gov't",0,,1948-7193
7,PMC3584654,23330847,AMERICAN CHEMICAL SOCIETY,ACS NANO,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,642.89,Article,,23/03/2014,Hydroxy-terminated conjugated polymer nanoparticles have near-unity bright fraction and reveal cholesterol-dependence of IGF1R nanodomains.,10.1021/nn3042122,Y,ACS Nano,2013,"journal article, research support, non-u.s. gov't",0,,1936-0851
8,PMC3936823,23373658,American Chemical Society Publications,ACS Nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",693.39,Article,,23/03/2014,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",10.1021/nn304235j,Y,ACS Nano,2013,"journal article, research support, non-u.s. gov't",4,,1936-0851
9,PMC3727331,23897484,International Union of Crystallography ,"Acta Crystallographica Section D,  Biological Crystallography ",Clustering procedures for the optimal selection of data sets from multiple crystals in macromolecular  crystallography ,771.42,Article,,23/03/2014,Clustering procedures for the optimal selection of data sets from multiple crystals in macromolecular crystallography.,10.1107/s0907444913012274,Y,Acta Crystallogr D Biol Crystallogr,2013,"journal article, research support, non-u.s. gov't",0,,0907-4449
10,PMC3565438,23385454,International Union of Crystallography,Acta Crystallographica Section D: Biological Crystallography,Intensity statistics in the presence of translational non-crystallographic symmetry,773.74,Article,,23/03/2014,Intensity statistics in the presence of translational noncrystallographic symmetry.,10.1107/s0907444912045374,Y,Acta Crystallogr D Biol Crystallogr,2013,"journal article, research support, non-u.s. gov't, research support, u.s. gov't, p.h.s.",0,,0907-4449
11,PMC3668577,23722836,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,785.6,Article,,23/03/2014,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,10.1107/s174430911301292x,Y,Acta Crystallogr Sect F Struct Biol Cryst Commun,2013,"journal article, research support, non-u.s. gov't",0,,1744-3091
12,PMC3606566,23519796,International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase,807.67,Article,,23/03/2014,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase.,10.1107/s1744309113002352,Y,Acta Crystallogr Sect F Struct Biol Cryst Commun,2013,"journal article, research support, non-u.s. gov't",0,,1744-3091
13,PMC3498934,23151636,International Union of Crystallography,"Acta Crystallographica, Section D",Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,757.18,Article,,23/03/2014,Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,10.1107/s0907444912040590,Y,Acta Crystallogr D Biol Crystallogr,2012,"journal article, research support, non-u.s. gov't",0,,0907-4449
14,PMC3447403 ,22993091,International Union of Crystallography,Acta Crystallography D,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a",774.19,Article,,23/03/2014,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a.",10.1107/s0907444912029599,Y,Acta Crystallogr D Biol Crystallogr,2012,"journal article, research support, non-u.s. gov't",0,,0907-4449
15,PMC3087623,21543847,International Union of Crystallography,Acta D,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,750.16,Article,,23/03/2014,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,10.1107/s0907444911007888,Y,Acta Crystallogr D Biol Crystallogr,2011,"journal article, research support, non-u.s. gov't",2,,0907-4449
